,Title,Production Budget,Worldwide,Domestic,Foreign,Year,Awards,Genre,Production,Rated,Imdb Rating
420,The Disaster Artist,"$10,000,000","$29,820,616","$21,120,616","$8,700,000",2017,Nominated for 1 Oscar. Another 31 wins & 81 nominations.,"Biography, Comedy, Drama",A24,R,7.4
421,Father Figures,"$25,000,000","$25,601,244","$17,501,244","$8,100,000",2017,1 nomination.,"Comedy, Drama",Warner Bros. Pictures,R,5.5
422,Wish Upon,"$12,000,000","$23,468,586","$14,301,505","$9,167,081",2017,2 nominations.,"Drama, Fantasy, Horror, Mystery, Thriller",Broad Green Pictures,PG-13,5.0
423,Detroit,"$40,000,000","$23,355,100","$16,790,139","$6,564,961",2017,5 wins & 19 nominations.,"Crime, Drama, History, Thriller",Annapurna Pictures,R,7.3
424,The Lost City of Z,"$30,000,000","$19,263,938","$8,580,410","$10,683,528",2016,6 wins & 29 nominations.,"Biography, Drama, History",Amazon Studios/Bleecker Street Media,PG-13,6.6
425,Battle of the Sexes,"$25,000,000","$18,598,607","$12,638,526","$5,960,081",2017,Nominated for 2 Golden Globes. Another 3 wins & 19 nominations.,"Biography, Comedy, Drama, Sport",Fox Searchlight Pictures,PG-13,6.7
426,Before I Fall,"$5,000,000","$16,373,843","$12,241,122","$4,132,721",2017,2 wins & 2 nominations.,"Drama, Fantasy, Mystery",Open Road Films,PG-13,6.4
427,The Space Between Us,"$30,000,000","$16,080,475","$7,885,294","$8,195,181",2017,4 nominations.,"Drama, Romance, Sci-Fi",STX Entertainment,PG-13,6.4
428,"Roman J. Israel, Esq.","$22,000,000","$13,025,860","$11,962,778","$1,063,082",2017,Nominated for 1 Oscar. Another 2 wins & 9 nominations.,"Crime, Drama, Thriller",Sony Pictures,PG-13,6.4
429,The Promise,"$90,000,000","$12,448,676","$8,224,288","$4,224,388",2016,2 wins & 4 nominations.,"Action, Adventure, Drama, History, War",Open Road Films,PG-13,5.9
430,The Florida Project,"$2,000,000","$10,971,298","$5,904,366","$5,066,932",2017,Nominated for 1 Oscar. Another 68 wins & 127 nominations.,Drama,June Pictures,R,7.6
431,The Square,"$1,900,000","$9,493,791","$1,502,347","$7,991,444",2017,Nominated for 1 Oscar. Another 33 wins & 41 nominations.,"Comedy, Drama",Magnolia Pictures,R,7.2
432,The Square,"$1,500,000","$9,493,791","$1,502,347","$7,991,444",2017,Nominated for 1 Oscar. Another 33 wins & 41 nominations.,"Comedy, Drama",Magnolia Pictures,R,7.2
433,Tulip Fever,"$25,000,000","$9,204,549","$2,455,635","$6,748,914",2017,1 nomination.,"Drama, History, Romance",The Weinstein Company,R,6.2
434,Stronger,"$30,000,000","$8,503,658","$4,211,129","$4,292,529",2017,2 wins & 8 nominations.,"Biography, Drama",Lionsgate and Roadside Attractions,R,6.9
435,I Am Not Your Negro,"$1,000,000","$8,345,298","$7,123,919","$1,221,379",2016,Nominated for 1 Oscar. Another 30 wins & 49 nominations.,Documentary,Magnolia Pictures,PG-13,7.8
436,Let There Be Light,"$3,000,000","$7,233,471","$7,233,471",-,2017,1 nomination.,Drama,EyeSteelFilm,PG-13,4.7
437,Birth of the Dragon,"$31,000,000","$7,215,027","$6,901,965","$313,062",2016,1 win.,"Action, Biography, Drama",BH Tilt/WWE Studios,PG-13,5.5
438,Churchill,"$10,000,000","$6,724,365","$1,281,258","$5,443,107",2017,1 win.,"Biography, Drama, History, War",Cohen Media Group,PG,6.4
439,Same Kind of Different as Me,"$6,500,000","$6,423,605","$6,423,605",-,2017,1 win & 1 nomination.,"Biography, Drama",Paramount Pictures / Pure Flix,PG-13,6.6
440,Lowriders,"$916,000","$6,312,033","$6,303,560","$8,473",2016,5 nominations.,"Adventure, Crime, Drama",BH Tilt,PG-13,5.7
441,All Saints,"$2,000,000","$5,942,565","$5,802,208","$140,357",2017,1 win & 1 nomination.,Drama,Sony Pictures / Affirm Films,PG,6.0
442,Table 19,"$5,000,000","$5,042,014","$3,614,896","$1,427,118",2017,2 nominations.,"Comedy, Drama, Romance",Fox Searchlight Pictures,PG-13,5.8
443,The Wall,"$3,000,000","$4,476,705","$1,803,064","$2,673,641",2017,1 nomination.,"Action, Drama, Thriller, War",Amazon Studios and Roadside Attractions,R,6.2
444,Free Fire,"$10,000,000","$3,719,383","$1,799,312","$1,920,071",2016,2 wins & 7 nominations.,"Action, Comedy, Crime, Thriller",A24 Films,R,6.4
445,LBJ,"$20,000,000","$2,510,151","$2,470,979","$39,172",2016,1 nomination.,"Biography, Drama, History",Electric Entertainment,R,6.5
446,Patti Cake$,"$1,000,000","$1,482,356","$800,148","$682,208",2017,9 wins & 15 nominations.,"Drama, Music",Fox Searchlight Pictures,R,6.8
447,Columbus,"$700,000","$1,093,077","$1,017,107","$75,970",2017,9 wins & 30 nominations.,Drama,Superlative Films / Depth of Field Productions,Not Rated,7.2
448,Bitter Harvest,"$21,000,000","$904,399","$557,241","$347,158",2017,6 nominations.,"Drama, Romance, War",Devil&#39;s Harvest Production,R,6.0
449,Wilson,"$5,200,000","$848,646","$653,951","$194,695",2017,1 nomination.,"Comedy, Drama",Fox Searchlight,R,5.8
450,Berlin Syndrome,"$5,500,000","$397,783","$28,660","$369,123",2017,1 win & 23 nominations.,"Drama, Horror, Mystery, Thriller",Vertical Entertainment,R,6.3
451,City of Ghosts,"$17,500,000","$228,225","$128,015","$100,210",2002,1 nomination.,"Crime, Drama, Thriller",MGM Pictures,R,6.0
